id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason,fs,tr
146,long,2025-06-22T11:00:00+00:00,2025-06-22T13:00:00+00:00,2275.7,2211.706937617929,4.1225,7.3997,-271.2111,SL,-1.2694,-1.5397
147,long,2025-06-22T20:30:00+00:00,2025-06-23T13:30:00+00:00,2186.76,2241.860607842868,3.9181,6.9407,208.949,SL,-1.7974,-1.8078
148,long,2025-06-23T17:30:00+00:00,2025-06-24T07:30:00+00:00,2273.4,2395.386893262202,4.0445,7.5532,485.8228,SL,-0.3492,-0.5846
149,long,2025-06-24T09:00:00+00:00,2025-06-24T13:00:00+00:00,2430.17,2413.06,4.3833,8.4917,-83.49,Replace,0.1507,-0.0102
150,long,2025-06-24T13:00:00+00:00,2025-06-26T09:00:00+00:00,2413.06,2468.4353193826387,4.3106,8.4169,230.284,SL,0.4671,0.46
151,long,2025-06-27T09:00:00+00:00,2025-06-27T17:30:00+00:00,2446.62,2404.583315642959,4.5338,8.7978,-199.3837,SL,0.6022,0.5379
152,long,2025-06-27T19:30:00+00:00,2025-06-28T19:30:00+00:00,2411.5,2432.0496309312966,4.3518,8.4313,80.9966,SL,-1.6351,-1.8484
153,short,2025-06-29T01:00:00+00:00,2025-06-29T09:30:00+00:00,2432.9,2452.5511551803575,4.4134,8.6246,-95.353,SL,1.0631,1.0691
154,long,2025-06-29T21:30:00+00:00,2025-06-30T03:00:00+00:00,2430.76,2497.250069737435,4.2996,8.4754,277.4053,SL,-1.3032,-1.7146
155,long,2025-06-30T15:30:00+00:00,2025-07-01T10:00:00+00:00,2473.38,2453.07,4.562,8.9898,-101.644,Replace,-0.288,-0.6383
156,short,2025-07-01T03:00:00+00:00,2025-07-01T14:00:00+00:00,2486.37,2453.5171288769125,4.5382,8.9673,140.1256,SL,-0.8726,-0.6437
157,long,2025-07-01T10:00:00+00:00,2025-07-01T14:30:00+00:00,2453.07,2419.832532252529,4.4755,8.7235,-157.4778,SL,-1.7082,-1.972
